poly_ID,monomers,mon_SMILES,mon_class_wt_%,mon_mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50
1,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000
2,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[59.1, 30.7, 10.2]","[0.4549454859354751, 0.43169677376239013, 0.11335774030213468]",70,>512,>512,>2000
3,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.5044570496588803, 0.368058869011033, 0.12748408133008668]",70,256,>512,>2000
4,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[59.1, 30.7, 10.2]","[0.5053614730538734, 0.3687187488800791, 0.1259197780660476]",70,256,>512,>2000
5,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.5878058277488345, 0.2636465684428655, 0.14854760380830015]",70,128,32-64,>2000
6,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[59.1, 30.7, 10.2]","[0.5890341712713527, 0.2641975132264877, 0.1467683155021596]",70,128,32,>2000
7,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[82.7, 13.0, 4.3]","[0.7335234220883662, 0.21063007227554228, 0.05584650563609155]",70,>512,32,>2000
8,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[82.7, 13.0, 4.3]","[0.7340989472357222, 0.2107953333970466, 0.055105719367231194]",70,>512,64-128,>2000
9,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[82.7, 13.0, 4.3]","[0.771054659625125, 0.17024140932398385, 0.05870393105089118]",70,>512,32,>2000
10,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[82.7, 13.0, 4.3]","[0.77169061127758, 0.17038182129637044, 0.057927567426049716]",70,>512,32,>2000
11,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[82.7, 13.0, 4.3]","[0.8251748414307326, 0.1120008096186611, 0.06282434895060626]",70,256-512,32,<50
12,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[82.7, 13.0, 4.3]","[0.8259032429910733, 0.11209967541096302, 0.06199708159796359]",70,256,32,>2000
13,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",115,>512,128,>8000
