poly_ID,monomers,mon_SMILES,mon_class_wt_%,mon_mol_distribution,DP,MIC_ecoli
24,"['Tma', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[75.0, 0.0, 25.0]","[0.77650798, 0.22349202]",70,64
25,"['Aeg', 'Mo', 'Olam']","['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[10.0, 60.0, 30.0]","[0.09101843, 0.74525889, 0.16372269]",70,>512
26,"['Tma', 'Ni', 'Phe']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']","[55.0, 0.0, 45.0]","[0.42715473, 0.35467542, 0.21816985]",70,>512
27,"['Tma', 'Bam', 'Oct']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCOCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C']","[55.0, 0.0, 45.0]","[0.43771601, 0.51740712, 0.04487686]",70,32
28,"['Tma', 'Mo', 'Phe', 'Oct']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCNC(=O)C=C']","[17.0, 55.0, 28.0]","[0.12548129, 0.5944452, 0.23845152, 0.04162198]",70,>512
29,"['Tma', 'Aeg', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[55.0, 0.0, 45.0]","[0.45042781, 0.10740022, 0.28118029, 0.16099169]",70,128
30,"['Tma', 'Aeg', 'Ni', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[55.0, 0.0, 45.0]","[0.26581183, 0.16297791, 0.48555995, 0.08565032]",70,64
31,"['Tma', 'Mo', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[35.0, 20.0, 45.0]","[0.29196197, 0.24429091, 0.4100799, 0.05366721]",70,128
32,"['Tma', 'Aeg', 'Mo', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[55.0, 37.0, 8.0]","[0.3181497, 0.15271768, 0.45359547, 0.07553715]",70,256
33,"['Tma', 'Aeg', 'Mo', 'Ni', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[50.0, 5.0, 45.0]","[0.26930237, 0.19263775, 0.06572158, 0.32795742, 0.14438088]",70,128
34,"['Tma', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[90.0, 0.0, 10.0]","[0.91245961, 0.08754039]",70,256
35,"['Tma', 'Phe', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCCCCCNC(=O)C=C']","[80.0, 0.0, 20.0]","[0.75911596, 0.19991786, 0.04096618]",70,256
